crop,soil_type,pH_range,sowing_month,seed_rate_kg_per_acre,fertilizer_type,fertilizer_schedule,irrigation_freq_per_month,crop_duration_days,common_disease,treatment,expected_yield_quintal_per_acre
Banana,Alluvial,6.5 - 8.1,Jun,18.6,Vermicompost,Both,7,68,Stem Borer,Use crop rotation,20.4
Potato,Clay,6.9 - 8.3,May,28.1,Vermicompost,Top Dressing,2,142,Stem Borer,No treatment needed,24.94
Soybean,Loamy,6.9 - 8.1,Nov,27.9,Urea,Basal,8,100,Downy Mildew,Apply neem extract,16.29
Sesame,Black soil,5.5 - 7.8,Oct,7.9,Urea,Both,2,110,Powdery Mildew,Apply neem extract,16.39
Potato,Clay,5.5 - 8.1,May,19.7,NPK,Both,7,98,Rust,Spray insecticide,21.26
Cabbage,Sandy loam,5.7 - 7.9,Feb,29.8,Compost,Top Dressing,8,84,Leaf Spot,Spray insecticide,23.76
Green Gram,Black soil,6.9 - 8.1,Jun,30.0,Vermicompost,Basal,5,82,Rust,Remove infected parts,17.49
Sorghum,Alluvial,7.2 - 8.0,Dec,27.1,NPK,Top Dressing,4,135,Blight,Use fungicide,20.38
Chili,Alluvial,7.4 - 7.6,Dec,17.2,NPK,Basal,7,95,Anthracnose,Spray insecticide,6.34
Coffee,Black soil,6.5 - 8.2,Sep,16.3,Vermicompost,Both,8,75,Anthracnose,Use fungicide,33.48
Wheat,Loamy,6.8 - 8.3,Feb,29.2,DAP,Basal,7,140,Downy Mildew,No treatment needed,9.34
Potato,Sandy loam,5.5 - 8.3,Mar,21.0,Compost,Both,4,131,Wilt,Spray insecticide,32.06
Cauliflower,Black soil,6.5 - 8.4,Mar,9.1,Compost,Top Dressing,6,111,Root Rot,Apply neem extract,30.48
Onion,Sandy loam,5.7 - 7.8,Mar,26.3,NPK,Both,2,92,Anthracnose,Apply neem extract,19.79
Sugarcane,Clay,7.3 - 7.9,Nov,12.0,Urea,Both,2,151,Powdery Mildew,Use fungicide,8.39
Sugarcane,Loamy,6.2 - 8.4,Mar,12.3,Compost,Basal,2,145,Downy Mildew,Remove infected parts,14.82
Pigeon Pea,Clay,6.9 - 8.4,Jul,3.1,Compost,Basal,2,102,Root Rot,No treatment needed,28.55
Coffee,Alluvial,6.5 - 8.0,Nov,19.7,Vermicompost,Both,5,68,Anthracnose,No treatment needed,28.98
Bottle Gourd,Clay,6.2 - 7.9,Dec,11.2,DAP,Basal,2,138,Rust,No treatment needed,20.66
Tea,Sandy loam,6.3 - 7.8,Nov,23.8,DAP,Both,5,148,No major disease,Use crop rotation,6.1
Apple,Clay,6.1 - 8.2,Feb,27.1,DAP,Basal,8,161,Stem Borer,Use crop rotation,29.24
Okra,Loamy,6.5 - 7.7,Nov,5.4,NPK,Top Dressing,4,165,Blight,No treatment needed,16.27
Apple,Clay,6.4 - 7.8,Apr,25.6,DAP,Basal,2,147,No major disease,Use fungicide,16.2
Carrot,Black soil,5.8 - 8.1,Sep,15.6,DAP,Both,4,125,Wilt,Spray insecticide,14.88
Rice,Clay,6.6 - 7.9,Mar,13.3,Urea,Basal,2,116,No major disease,Use crop rotation,16.3
Cauliflower,Black soil,6.6 - 8.3,Sep,26.6,DAP,Top Dressing,5,86,Downy Mildew,Remove infected parts,9.36
Banana,Sandy loam,6.3 - 8.0,Jul,19.1,Vermicompost,Basal,4,133,Rust,No treatment needed,9.75
Coffee,Loamy,7.0 - 8.1,Aug,19.6,Compost,Top Dressing,5,161,Leaf Spot,Remove infected parts,9.36
Apple,Alluvial,7.0 - 7.9,Aug,4.3,DAP,Basal,6,164,Blight,Apply neem extract,12.97
Mustard,Loamy,6.5 - 7.7,Sep,20.7,Compost,Top Dressing,7,79,No major disease,No treatment needed,13.04
Beetroot,Alluvial,6.4 - 8.1,Mar,8.2,DAP,Top Dressing,7,114,Downy Mildew,Apply neem extract,11.74
Sugarcane,Black soil,5.8 - 7.8,Feb,26.2,NPK,Both,5,154,Root Rot,Apply neem extract,33.13
Sunflower,Sandy loam,7.1 - 8.4,Nov,19.7,NPK,Both,5,112,Wilt,Apply neem extract,28.33
Onion,Black soil,6.2 - 7.6,Apr,26.5,NPK,Both,2,88,Powdery Mildew,Use fungicide,34.82
Rice,Sandy loam,7.3 - 8.1,May,5.3,DAP,Basal,5,94,No major disease,Spray insecticide,5.47
Coffee,Clay,7.0 - 7.8,Jan,7.8,Vermicompost,Top Dressing,5,134,Leaf Spot,Apply neem extract,12.7
Pearl Millet,Black soil,7.4 - 8.2,Feb,27.3,Vermicompost,Basal,2,168,Powdery Mildew,Use crop rotation,27.99
Ginger,Loamy,6.9 - 8.3,Sep,12.1,Compost,Both,6,128,Stem Borer,Remove infected parts,17.68
Tea,Clay,6.4 - 7.7,Jun,23.9,Compost,Basal,6,158,Downy Mildew,Apply neem extract,20.85
Pineapple,Sandy loam,5.8 - 8.0,Mar,6.5,NPK,Both,7,163,Downy Mildew,No treatment needed,11.73
Sesame,Black soil,6.5 - 8.0,Oct,21.8,NPK,Top Dressing,2,91,Leaf Spot,Apply neem extract,28.56
Pearl Millet,Clay,6.6 - 8.5,Apr,11.6,Vermicompost,Basal,4,155,Stem Borer,Spray insecticide,32.22
Barley,Alluvial,7.4 - 8.3,Mar,4.0,Compost,Both,4,137,Downy Mildew,No treatment needed,29.63
Mango,Loamy,6.7 - 7.6,Dec,20.5,NPK,Both,6,71,Downy Mildew,No treatment needed,22.41
Orange,Black soil,5.6 - 7.7,Aug,13.2,NPK,Basal,5,128,Rust,Apply neem extract,31.35
Wheat,Sandy loam,5.6 - 8.0,Nov,15.4,Compost,Basal,2,139,Root Rot,Use fungicide,15.33
Sorghum,Loamy,6.6 - 8.2,Jun,16.1,DAP,Top Dressing,7,103,Powdery Mildew,Spray insecticide,27.53
Tea,Alluvial,6.2 - 8.1,May,14.4,Compost,Basal,8,104,Anthracnose,Apply neem extract,12.65
Wheat,Alluvial,6.4 - 7.6,Nov,29.5,Compost,Top Dressing,4,126,Powdery Mildew,Use crop rotation,21.16
Maize,Sandy loam,6.7 - 8.4,Apr,20.6,NPK,Top Dressing,6,78,Wilt,Use crop rotation,5.63
Mango,Black soil,6.7 - 8.3,Feb,21.0,Compost,Top Dressing,7,163,Rust,Use fungicide,32.75
Spinach,Sandy loam,5.9 - 8.2,Apr,19.6,Vermicompost,Both,7,175,Stem Borer,Use crop rotation,24.97
Coffee,Loamy,5.8 - 8.0,Apr,16.9,Compost,Top Dressing,4,69,Powdery Mildew,Use crop rotation,32.73
Pineapple,Loamy,7.0 - 8.3,Dec,14.3,Compost,Basal,2,143,Leaf Spot,Use crop rotation,10.4
Rice,Loamy,6.6 - 8.4,Feb,21.8,Compost,Basal,7,72,Stem Borer,Apply neem extract,17.34
Okra,Loamy,7.2 - 8.1,May,21.3,Urea,Basal,6,140,Downy Mildew,Remove infected parts,18.6
Groundnut,Clay,5.6 - 7.8,Dec,18.7,Vermicompost,Both,2,164,No major disease,Use fungicide,21.05
Wheat,Loamy,6.2 - 8.0,Sep,25.7,DAP,Basal,8,140,Wilt,Spray insecticide,34.93
Green Gram,Alluvial,6.1 - 7.7,Feb,20.8,Vermicompost,Top Dressing,2,124,Blight,Remove infected parts,13.23
Bottle Gourd,Clay,6.9 - 8.4,Oct,28.8,Compost,Basal,5,173,Root Rot,Spray insecticide,23.74
Chickpea,Black soil,5.9 - 7.8,Feb,11.8,Vermicompost,Basal,4,173,Blight,No treatment needed,26.66
Papaya,Alluvial,6.9 - 7.9,Dec,15.3,Vermicompost,Basal,8,172,Rust,Remove infected parts,17.6
Mango,Black soil,7.5 - 7.9,May,16.2,DAP,Basal,5,76,Powdery Mildew,No treatment needed,33.81
Groundnut,Loamy,6.6 - 7.8,Nov,24.6,DAP,Top Dressing,3,176,Stem Borer,No treatment needed,25.9
