label,treatment
Cabbage___Wilt_15,Use sulfur-based sprays; increase spacing
Banana___Anthracnose_66,Spray with triazole fungicides
Cauliflower___Rust_53,Apply carbendazim + captan mixture
Corn___Powdery_mildew_76,Apply copper fungicide; rotate crops
Cabbage___Root_rot_89,Use sulfur-based sprays; increase spacing
Corn___Powdery_mildew_60,Use organic mulch and improve drainage
Rice___Anthracnose,Seed treatment with thiram; avoid waterlogging
Corn___Late_blight_41,Use sulfur-based sprays; increase spacing
Grape___Mosaic,Use sulfur-based sprays; increase spacing
Corn___Late_blight,Apply carbendazim + captan mixture
Banana___Early_blight_47,Use organic mulch and improve drainage
Chili___Leaf_spot_62,Spray with triazole fungicides
Potato___Early_blight_80,Spray biological agents like Trichoderma
Banana___Late_blight_72,Spray with triazole fungicides
Chili___Bacterial_spot_11,Spray biological agents like Trichoderma
Grape___Rust_26,Spray with triazole fungicides
Grape___Root_rot_45,Spray with triazole fungicides
Cauliflower___Anthracnose_25,Use organic mulch and improve drainage
Cabbage___Bacterial_spot_37,Use organic mulch and improve drainage
Apple___Leaf_spot_93,Use sulfur-based sprays; increase spacing
Soybean___Powdery_mildew_69,Apply copper fungicide; rotate crops
Grape___Root_rot_18,Drench soil with fungicide solution
Cauliflower___Early_blight_70,Use sulfur-based sprays; increase spacing
Rice___Early_blight_23,Remove affected leaves; apply neem oil
Chili___Mosaic_46,Use organic mulch and improve drainage
Mango___Powdery_mildew_55,Spray biological agents like Trichoderma
Mango___Wilt,Use resistant varieties; apply mancozeb
Tomato___Rust_5,Spray biological agents like Trichoderma
Pea___Rust_50,Use sulfur-based sprays; increase spacing
Mango___Late_blight_60,Apply carbendazim + captan mixture
Potato___Leaf_spot,Seed treatment with thiram; avoid waterlogging
Apple___Early_blight,Apply copper fungicide; rotate crops
Soybean___Mosaic,Remove affected leaves; apply neem oil
Grape___Leaf_spot_36,Drench soil with fungicide solution
Banana___Powdery_mildew_56,Use organic mulch and improve drainage
Soybean___Leaf_spot_58,Use sulfur-based sprays; increase spacing
Brinjal___Leaf_spot_61,Remove affected leaves; apply neem oil
